"","id","ses","genre","reseau","scolarite","experience"
"1",4,62.5,2,24,2,6
"2",5,17.1,2,10,0,1
"3",6,69.2,2,13,3,12
"4",7,29.8,1,4,0,4
"5",8,37.7,2,24,1,4
"6",9,37.7,2,6,1,6
"7",10,47.8545127651924,2,14,2,9
"8",11,92.3,2,9,4,27
"9",12,80.9,2,5,4,14
"10",13,76.4,2,10,3,13
"11",14,37.4,1,5,1,3
"12",15,38.4,2,8,1,8
"13",16,38.9,1,14,1,6
"14",18,83.9,1,3,4,21
"15",20,37.7,2,5,1,4
"16",21,39.4,1,5,1,5
"17",73,47.8545127651924,2,12,2,9
"18",78,45.8,1,8,2,7
"19",2377,38.4,2,2,1,8
"20",2396,69.7,2,14,3,17
"21",2476,18.5,2,16,0,6
"22",2545,60.6,2,21,2,12
"23",2747,38.4,2,7,1,6
"24",2887,50.7,2,21,2,10
"25",2897,32.4,1,4,1,7
"26",2251,62.5,2,3,2,16
"27",2898,28.6,1,15,0,12
"28",2899,38.9,2,12,1,6
"29",1087,38.9,2,10,1,9
"30",2715,50.7,2,19,2,9
"31",2900,38.1,1,6,1,3
"32",2662,28.4,2,7,0,2
"33",2902,28.4,1,8,0,3
"34",2854,38,2,10,1,8
"35",1,43.4,1,16,2,6
"36",1968,34.4,2,3,1,4
"37",17,62.5,1,19,2,13
"38",109,53.3,1,7,2,8
"39",23,49.9,1,18,2,9
"40",24,29.3,2,9,0,4
"41",215,53.7,2,0,2,8
"42",711,37.7,2,4,1,5
"43",25,29.3,2,8,0,2
"44",26,52.5,2,15,2,9
"45",434,26.4,2,12,0,4
"46",1139,60.6,2,6,2,17
"47",28,76.3,1,18,3,15
"48",29,72.5,2,2,3,17
"49",30,33.9,2,17,1,9
"50",31,78.7,2,3,4,21
"51",32,28.4,1,12,0,2
"52",114,44.7,1,10,2,6
"53",311,29.8,2,3,0,2
"54",516,78.5,2,11,3,20
"55",1294,63.5,2,3,3,19
"56",2791,27.5,1,9,0,4
"57",33,60.6,1,3,2,18
"58",439,33.1,2,14,1,6
"59",34,63.5,2,10,3,13
"60",35,67,1,26,3,15
"61",36,63.5,2,7,3,31
"62",37,47.8545127651924,1,21,2,2
"63",38,28.4,2,5,0,9
"64",39,47.8545127651924,2,8,2,2
"65",40,69.2,2,11,3,16
"66",41,50.7,1,4,2,6
"67",42,22.5,2,12,0,2
"68",43,56.6,2,2,2,12
"69",44,47.8545127651924,2,15,2,2
"70",45,37.6,1,15,1,2
"71",46,67,2,13,3,15
"72",47,33.1,2,12,1,2
"73",48,32.1,1,4,1,2
"74",49,34.2,1,7,1,6
"75",50,23.3,2,13,0,3
"76",51,31.4,2,14,1,4
"77",52,96,2,24,4,17
"78",53,53.7,1,3,2,12
"79",54,28.6,1,6,0,5
"80",55,97.2,2,18,4,25
"81",56,63.5,1,21,3,17
"82",57,33.9,1,4,1,6
"83",58,53.7,1,5,2,10
"84",59,60.6,1,9,2,16
"85",60,29.6,1,14,0,2
"86",63,63.5,1,17,3,13
"87",84,68.1,2,7,3,10
"88",85,33.9,2,9,1,5
"89",86,76.4,2,19,3,13
"90",87,39,1,4,1,8
"91",88,63.5,2,10,2,17
"92",90,73.9,1,23,3,20
"93",91,47.8545127651924,2,6,2,2
"94",92,38.9,1,2,1,6
"95",93,38.9,2,7,1,10
"96",95,50.7,2,3,2,11
"97",97,32.1,1,4,1,2
"98",98,35.1,1,5,1,5
"99",99,22.7,1,9,0,2
"100",100,30.8,2,17,1,4
"101",102,33.1,2,11,1,3
"102",103,47.8545127651924,2,15,2,8
"103",104,26.4,2,10,0,4
"104",105,47.8545127651924,1,11,2,9
"105",123,50.7,2,1,2,7
"106",124,58.3,1,7,2,10
"107",125,63.5,2,13,3,16
"108",127,26.4,2,5,0,4
"109",128,35.1,1,0,1,14
"110",129,37.3,1,11,1,6
"111",131,38.1,1,16,1,5
"112",133,73.6,2,17,3,6
"113",134,33.9,2,15,1,2
"114",151,50.5,2,8,2,14
