childs;degree;educ;sei;divorce
0;1;12;43,4;0
0;3;17;38,9;0
1;4;18;35,1;0
1;0;6;62,5;1
1;0;8;17,1;0
1;3;17;69,2;1
1;1;12;29,8;1
1;1;13;37,7;1
0;1;13;37,7;0
1;1;13; ;0
0;4;19;92,3;0
0;4;16;80,9;1
0;3;16;76,4;1
0;1;13;37,4;1
1;3;16;38,4;1
0;3;16;38,9;0
0;1;15;62,5;0
0;4;19;83,9;1
0;1;13;17,1;1
1;1;12;37,7;0
1;1;12;39,4;1
1;0;4;27,5;0
1;1;15;49,9;1
0;1;12;29,3;0
1;0;11;29,3;0
0;1;16;52,5;1
1;3;20;53,7;0
0;3;17;76,3;1
0;3;16;72,5;0
0;3;16;33,9;0
1;4;20;78,7;0
0;0;3;28,4;0
1;2;15;60,6;1
0;3;16;63,5;1
0;3;16;67;1
1;2;14;63,5;0
0;0;9; ;1
1;4;17;28,4;0
1;0;10; ;0
1;3;16;69,2;0
0;1;14;50,7;0
1;0;8;22,5;0
1;4;18;56,6;1
1;0;12; ;1
0;0;10;37,6;1
0;3;16;67;0
1;0;7;33,1;0
0;0;9;32,1;1
1;1;12;34,2;1
1;1;12;23,3;0
0;1;13;31,4;0
1;4;18;96;0
1;1;12;53,7;0
0;1;12;28,6;0
0;4;20;97,2;0
0;3;16;63,5;1
0;3;16;33,9;1
0;1;12;53,7;0
0;1;13;60,6;1
0;0;11;29,6;1
1;1;12;28,6;0
0;3;17;33,1;1
1;1;12;63,5;0
1;1;12;38,9;0
1;3;16;63,5;1
1;3;16;38;0
0;2;14;28,6;1
1;0;6; ;0
1;1;12;38;0
1;1;12;36,5;0
1;0;8;29,3;1
0;3;16;81;1
1;1;10; ;0
1;3;15;36,5;1
1;1;10; ;0
1;0;10; ;0
1;4;18;69,2;0
1;1;15;45,8;0
0;0;10;28,4;0
0;1;12;38;1
1;1;12;69,2;1
1;1;13;29,3;1
0;3;16;50,5;1
1;1;12;68,1;0
1;1;12;33,9;1
1;3;16;76,4;1
1;1;16;39;0
1;3;16;63,5;1
1;3;16;76,4;0
1;4;20;73,9;0
0;0;11; ;1
1;3;16;38,9;0
0;3;16;38,9;1
1;1;13;52,5;0
0;3;16;50,7;0
1;1;15;64,1;0
1;0;12;32,1;0
1;1;13;35,1;1
0;0;7;22,7;1
