"","childs","degree","educ","sei","suicide","divorce"
"1",0,1,12,"43,4",NA,0
"2",0,3,17,"38,9",1,NA
"3",3,4,18,"35,1",NA,NA
"4",4,0,6,"62,5",1,1
"5",4,0,8,"17,1",NA,NA
"6",4,3,17,"69,2",NA,NA
"7",3,1,12,"29,8",NA,NA
"8",1,1,13,"37,7",0,NA
"9",0,1,13,"37,7",1,NA
"10",4,1,13," ",NA,NA
"11",0,4,19,"92,3",NA,NA
"12",0,4,16,"80,9",1,NA
"13",0,3,16,"76,4",NA,NA
"14",0,1,13,"37,4",1,NA
"15",1,3,16,"38,4",0,NA
"16",0,3,16,"38,9",1,NA
"17",0,1,15,"62,5",NA,0
"18",0,4,19,"83,9",1,NA
"19",0,1,13,"17,1",1,1
"20",2,1,12,"37,7",1,NA
"21",4,1,12,"39,4",0,NA
"22",5,0,4,"27,5",0,0
"23",1,1,15,"49,9",1,NA
"24",0,1,12,"29,3",0,0
"25",1,0,11,"29,3",0,NA
"26",0,1,16,"52,5",NA,NA
"27",1,3,20,"53,7",0,0
"28",0,3,17,"76,3",NA,NA
"29",0,3,16,"72,5",1,NA
"30",0,3,16,"33,9",NA,NA
"31",2,4,20,"78,7",1,0
"32",0,0,3,"28,4",NA,0
"33",1,2,15,"60,6",NA,NA
"34",0,3,16,"63,5",1,NA
"35",0,3,16,"67",1,NA
"36",2,2,14,"63,5",0,NA
"37",0,0,9," ",1,NA
"38",3,4,17,"28,4",1,NA
"39",1,0,10," ",NA,0
"40",1,3,16,"69,2",0,NA
"41",0,1,14,"50,7",1,NA
"42",2,0,8,"22,5",0,NA
"43",2,4,18,"56,6",NA,NA
"44",3,0,12," ",NA,NA
"45",0,0,10,"37,6",1,NA
"46",0,3,16,"67",1,0
"47",3,0,7,"33,1",NA,NA
"48",0,0,9,"32,1",1,NA
"49",3,1,12,"34,2",0,1
"50",1,1,12,"23,3",1,NA
"51",0,1,13,"31,4",NA,NA
"52",1,4,18,"96",NA,0
"53",2,1,12,"53,7",1,0
"54",0,1,12,"28,6",0,NA
"55",0,4,20,"97,2",0,NA
"56",0,3,16,"63,5",1,NA
"57",0,3,16,"33,9",NA,NA
"58",0,1,12,"53,7",0,NA
"59",0,1,13,"60,6",1,NA
"60",0,0,11,"29,6",NA,NA
"61",3,1,12,"28,6",0,0
"62",0,3,17,"33,1",NA,NA
"63",3,1,12,"63,5",NA,0
"64",1,1,12,"38,9",0,0
"65",2,3,16,"63,5",NA,NA
"66",2,3,16,"38",1,0
"67",0,2,14,"28,6",1,NA
"68",3,0,6," ",1,0
"69",2,1,12,"38",NA,0
"70",3,1,12,"36,5",NA,0
"71",2,0,8,"29,3",1,NA
"72",0,3,16,"81",NA,NA
"73",2,1,10," ",1,0
"74",1,3,15,"36,5",NA,NA
"75",1,1,10," ",NA,NA
"76",3,0,10," ",NA,NA
"77",1,4,18,"69,2",1,NA
"78",1,1,15,"45,8",0,0
"79",0,0,10,"28,4",NA,NA
"80",0,1,12,"38",1,NA
"81",3,1,12,"69,2",NA,NA
"82",2,1,13,"29,3",1,NA
"83",0,3,16,"50,5",0,NA
"84",1,1,12,"68,1",0,0
"85",4,1,12,"33,9",1,1
"86",3,3,16,"76,4",1,1
"87",3,1,16,"39",NA,0
"88",1,3,16,"63,5",NA,NA
"89",1,3,16,"76,4",1,0
"90",2,4,20,"73,9",1,0
"91",0,0,11," ",1,NA
"92",3,3,16,"38,9",1,0
"93",0,3,16,"38,9",1,NA
"94",2,1,13,"52,5",NA,0
"95",0,3,16,"50,7",1,NA
"96",3,1,15,"64,1",0,0
"97",2,0,12,"32,1",NA,NA
"98",2,1,13,"35,1",1,NA
"99",0,0,7,"22,7",NA,NA
"100",3,1,11,"30,8",0,NA
"101",2,1,14,"29,4",NA,0
"102",0,0,10,"33,1",0,NA
"103",6,1,12," ",1,0
"104",2,1,14,"26,4",NA,0
"105",0,1,NA," ",1,0
"106",5,0,9," ",0,0
"107",3,0,8,"29,2",1,0
"108",0,0,11,"28,6",NA,NA
"109",0,3,16,"53,3",NA,NA
"110",2,1,13,"29,3",0,NA
"111",4,1,13," ",1,NA
"112",1,1,12,"48,9",NA,NA
"113",3,3,16,"22,5",0,0
"114",3,1,15,"44,7",NA,0
"115",4,1,11,"29,3",0,0
"116",2,1,13,"38,9",1,NA
"117",2,0,9,"28,4",0,0
"118",3,4,20,"87",1,0
"119",0,2,14,"33,6",1,NA
